61015AF	840.3325613	936.0354709	66.9255	283.265	350.3068	9.6741
61015AH	787.9518677	868.1219105	66.6181	230.7877	7.7219	352.4716
61015AJ	769.9200037	978.1079197	65.7752	74.8541	49.4328	311.9141
61015AL	909.3943717	1008.507776	66.2472	119.8254	211.7573	147.9415
61015AN	754.8838202	967.2005845	66.5944	64.6152	82.5222	279.2499
61015AQ	810.8182417	943.9296856	66.659	175.7486	282.8261	76.2587
61015AR	731.9258323	790.4012932	66.8817	334.845	70.1133	290.4377
61015AU	921.4345672	1879.439306	67.0764	337.0568	273.4522	79.629
61015AV	963.877883	1542.427624	65.5255	54.6669	228.1197	128.6908
61017A	714.3942442	778.6803692	47.9011	21.1532	213.5791	146.2239
61018A	3344.34506	3539.754228	91.1958	71.5135	224.1156	135.1747
61017D	751.1807016	883.9242537	47.8462	331.4791	13.5413	346.7914
61015AY	945.500941	1142.590395	67.0674	216.9113	41.8694	319.2432
61015BB	763.5512347	929.0732317	66.6636	337.2863	33.4127	327.4123
61015BC	858.9774094	979.1586605	66.8658	165.4779	340.8609	18.9382
61018C	3306.095884	3549.020747	91.1918	74.147	101.3928	260.0889
61028A	3482.47395	3763.550397	95.8638	309.2077	38.6472	322.4342
61028C	3230.110762	3980.730204	95.8561	329.5769	280.5721	75.3005
61028D	3503.27673	3775.915627	95.8676	292.1819	116.9876	244.4943
61018D	3354.849917	3561.076624	91.2001	69.5717	12.146	348.1907
61031A	951.6743027	1101.281782	32.4394	344.3987	351.2055	8.6798
61031C	948.6313093	1094.618509	32.4423	68.0653	47.7689	313.1253
61031B	954.890872	1106.134173	32.4403	105.0996	164.1409	196.2442
61015BE	910.3057598	973.9748763	66.4572	220.203	35.2238	325.1696
61015BK	878.3731737	985.6902876	66.8896	72.3533	311.582	47.898
61015BL	816.0015195	915.437506	66.7365	202.3469	354.7552	78.8114
61015BM	703.2266429	869.6319767	66.7995	225.1174	312.8446	46.2939
62002A	685.7987952	796.5288454	48.2967	315.8184	86.6298	274.3494
62002B	671.0072875	860.5010822	48.1481	182.4566	261.4499	97.1347
62002C	554.835534	576.5887955	48.4288	235.2879	234.7035	125.2424
61015BN	837.0450022	974.9882523	66.8818	254.5034	190.4337	169.4783
61015BQ	858.1962307	932.2536617	66.8201	120.0387	93.0111	267.68
61015BR	665.1061371	714.870429	66.8494	259.6338	334.5955	25.3427
61015BS	834.9326304	935.2343609	66.8756	87.5352	166.2643	194.0342
61015BT	747.3346898	978.817409	66.9539	259.4609	79.5923	282.3137
61015BY	878.8565736	927.7490658	66.4664	2.3336	230.6992	129.1109
61015BZ	864.5170982	957.9431608	66.8406	71.4469	64.4081	296.3605
61015CA	808.9696856	883.1143633	66.0718	137.3276	162.3774	197.9106
61015CB	898.702208	985.5614282	66.8675	272.6447	101.0447	259.7309
61015CD	931.7267659	1021.155298	67.0771	93.9682	257.9946	182.3806
61015CE	674.7335285	715.0844743	66.9293	72.3251	14.019	346.171
61015CF	698.3046045	803.6810995	66.7767	54.2837	208.551	151.1539
61015CG	738.5700007	814.8607306	66.7696	235.2336	218.1282	141.6042
61015CH	823.5620686	962.2252819	66.6836	7.8141	243.2154	115.9151
61015CJ	694.638662	810.0921123	66.4665	322.1565	7.2038	353.0206
61015CK	676.3403074	838.540282	66.5314	305.8461	230.1917	227.951
61015CL	777.1573505	825.2436354	66.527	257.3183	298.8185	60.9549
61015CN	957.8463187	1966.558949	67.938	332.0391	161.5955	293.7162
62010A	2782.479468	3407.019744	86.667	34.3798	132.1175	230.8249
62010C	2770.132658	3386.016243	86.6701	17.9375	346.536	12.7015
62010D	2798.44402	3417.806416	86.6661	50.0478	253.8816	102.592
61015CQ	862.6717738	1149.500696	67.1683	178.363	10.7757	349.7382
62025A	562.0234978	844.7593813	58.0896	93.8384	86.666	275.7181
62025C	566.163222	856.766049	58.2491	186.7305	262.8745	94.894
61015CU	566.3679329	658.9550499	66.5364	315.9549	147.5404	212.982
